WBS,Name,Duration,Start_Date,Finish_Date
1.1.4.5.1,"Persiapan Stringing (Pasang roll, eret- eret & mobilisasi ACSR)",30,2025-05-29 08:00:00,2025-06-27 17:00:00
1.1.4.5.2,"Pekerjaan Stringing, Sagging & Clamping",70,2025-06-26 08:00:00,2025-09-03 17:00:00
1.1.5,SECTION 1 (T.01 - T.18),305,2025-01-01 08:00:00,2025-11-01 17:00:00
1.1.5.1,FABRIKASI STUB & TOWER,135,2025-02-01 08:00:00,2025-06-15 17:00:00
1.1.5.1.1,"Fabrikasi Stub (5 Set T.01, T.02, T.04, T.07, T.12)",29,2025-02-01 08:00:00,2025-03-01 17:00:00
1.1.5.1.2,"Fabrikasi Tower (5 Set T.01, T.02, T.04, T.07, T.12) dan LLG",120,2025-02-16 08:00:00,2025-06-15 17:00:00
1.1.5.2,PEKERJAAN PONDASI (Incl Borepile),195,2025-01-01 08:00:00,2025-07-14 17:00:00
1.1.5.2.1,"4 TIP (Material Stub Tersedia T.03, T.05, T.14, T.15) dan LLG",90,2025-01-01 08:00:00,2025-03-31 17:00:00
1.1.5.2.2,"5 TIP (Material Stub Belum Tersedia T.01, T.02, T.04, T.07, T.12)",90,2025-03-02 08:00:00,2025-05-30 17:00:00
1.1.5.2.3,"2 TIP (Masalah sosial T.16, T.17)",45,2025-05-31 08:00:00,2025-07-14 17:00:00
1.1.5.3,PEKERJAAN ERECTION STEEL STRUCTURE,77,2025-06-23 08:00:00,2025-09-07 17:00:00
1.1.5.3.1,"4 TIP (Material Stub Tersedia T.03, T.05, T.14, T.15) dan LLG",35,2025-06-23 08:00:00,2025-07-27 17:00:00
1.1.5.3.2,"5 TIP (Material Stub Belum Tersedia T.01, T.02, T.04, T.07, T.12)",42,2025-07-28 08:00:00,2025-09-07 17:00:00
1.1.5.3.3,"2 TIP (Masalah sosial T.16, T.17)",14,2025-07-25 08:00:00,2025-08-07 17:00:00
1.1.5.4,PEKERJAAN ROW CLEARANCE,21,2025-08-24 08:00:00,2025-09-13 17:00:00
1.1.5.4.1,ROW & Bush Clearing (5.618 Kmr),21,2025-08-24 08:00:00,2025-09-13 17:00:00
1.1.5.5,"PEKERJAAN STRINGING, SAGGING & CLAMPING",59,2025-09-04 08:00:00,2025-11-01 17:00:00
1.1.5.5.1,"Persiapan Stringing (Pasang roll, eret- eret & mobilisasi ACSR)",15,2025-09-04 08:00:00,2025-09-18 17:00:00
1.1.5.5.2,"Pekerjaan Stringing, Sagging & Clamping",45,2025-09-18 08:00:00,2025-11-01 17:00:00
1.1.6,KOMISIONING,35,2025-10-29 08:00:00,2025-12-02 17:00:00
1.1.6.1,Pengujian & Komisioning,35,2025-10-29 08:00:00,2025-12-02 17:00:00
1.1.7,ADMINISTRASI,10,2025-12-03 08:00:00,2025-12-12 17:00:00
1.1.7.1,Penyusunan Administrasi (As Build Drawing & Final Quantity),10,2025-12-03 08:00:00,2025-12-12 17:00:00
